paper_id,publication_year,publication_month
paper_14229.pdf,2024,12
paper_14231.pdf,2015,12
paper_14257.pdf,2020,12
paper_14270.pdf,2024,7
paper_14274.pdf,2025,5
paper_14294.pdf,2025,6
paper_14295.pdf,2021,6
paper_14350.pdf,2019,12
paper_14352.pdf,2025,3
paper_14361.pdf,2016,6
paper_14417.pdf,2024,11
paper_14436.pdf,2013,10
paper_14455.pdf,2023,2
paper_14465.pdf,2020,12
paper_14480.pdf,2025,4
paper_14530.pdf,2024,12
paper_14565.pdf,2024,7
paper_14565_2.pdf,2020,12
paper_14585.pdf,2025,3
paper_14626.pdf,2025,5
paper_14647_2.pdf,2022,5
paper_14689.pdf,2024,11
paper_14696.pdf,2025,1
paper_14775.pdf,2024,10
paper_14780.pdf,2024,12
paper_14835.pdf,2023,11
paper_14863.pdf,2025,4
paper_14868.pdf,2025,1
paper_14883.pdf,2025,5
paper_14889.pdf,2024,9
paper_14938.pdf,2023,7
paper_14947.pdf,2022,3
paper_14948.pdf,2024,9
paper_14953.pdf,2024,11
paper_14962.pdf,2023,3
paper_14967.pdf,2025,6
paper_150125.pdf,2021,8
paper_15035.pdf,2021,3
paper_15056.pdf,2022,9
paper_15060.pdf,2022,5
paper_15087.pdf,2024,12
paper_15095.pdf,2021,4
paper_15099.pdf,2023,7
paper_15135.pdf,2025,6
paper_15165.pdf,2024,3
paper_15175.pdf,2022,2
paper_15176.pdf,2025,4
paper_15266.pdf,2025,6
paper_15408.pdf,2023,12
paper_15409.pdf,2023,9
paper_15507.pdf,2022,5
paper_15516.pdf,2024,5
paper_15576.pdf,2014,7
paper_15599.pdf,2021,11
paper_15614.pdf,2024,2
paper_15688.pdf,2025,1
paper_15713.pdf,2023,1
paper_15743.pdf,2025,3
paper_15823.pdf,2017,6
paper_15854.pdf,2022,12
paper_15857.pdf,2023,12
paper_15858.pdf,2025,1
paper_15870.pdf,2024,9
paper_15913.pdf,2024,5
paper_15923.pdf,2025,6
paper_15944.pdf,2024,4
paper_15951.pdf,2015,6
paper_15955.pdf,2024,9
paper_15979.pdf,2023,10
paper_15982_2.pdf,2024,1
paper_16011.pdf,2024,7
paper_16078.pdf,2024,6
paper_16079.pdf,2024,11
paper_16089_2.pdf,2023,9
paper_16097.pdf,2025,6
paper_16134.pdf,2024,5
paper_1614.pdf,2021,1
paper_16142.pdf,2023,12
paper_1614_2.pdf,2021,1
paper_16171.pdf,2025,3
paper_16176_2.pdf,2025,6
paper_16178.pdf,2024,3
paper_16193.pdf,2024,12
paper_16227.pdf,2022,12
paper_16254.pdf,2024,12
paper_16288.pdf,2025,3
paper_16328.pdf,2017,5
paper_16369.pdf,2025,6
paper_16373.pdf,2023,8
paper_16456.pdf,2025,6
paper_16469.pdf,2022,12
paper_16472.pdf,2024,4
paper_16486.pdf,2024,6
paper_16545.pdf,2022,3
paper_16545_2.pdf,2025,1
paper_16620.pdf,2021,12
paper_16632.pdf,2022,12
paper_16644.pdf,2018,4
paper_16650.pdf,2025,2
paper_16705.pdf,2017,8
paper_16746.pdf,2025,4
paper_16753.pdf,2024,1
paper_16757.pdf,2024,4
paper_16819.pdf,2022,5
paper_16894.pdf,2022,12
paper_16908.pdf,2024,9
